date,week,positive,positive_smooth,time...5,time...6,S,E,I,R,predicted_cases,residual
2022-10-10,41,646,754.3333333333334,0,0,99999,1,0,0,0,754.3333333333334
2022-10-17,42,1121,956.3333333333334,7,7,99997.79941017415,0.4165264837718499,0.6117430811000678,1.1723202610066144,611.7430811000677,344.5902522332657
2022-10-24,43,1102,1077.3333333333333,14,14,99996.30940719473,0.42898590083868016,0.634348292404759,2.6272586120368744,634.3482924047588,442.98504092857445
2022-10-31,44,1009,1119,21,21,99994.76790111547,0.4436045483979649,0.6559834926671975,4.132510843482636,655.9834926671973,463.0165073328027
2022-11-07,45,1246,1268,28,28,99993.17387274934,0.458716267604661,0.6783364601534978,5.68907452291397,678.3364601534977,589.6635398465023
2022-11-14,46,1549,1716.3333333333333,35,35,99991.52557324297,0.47433144016095413,0.7014354218002299,7.298659895084612,701.4354218002297,1014.8979115331035
2022-11-21,47,2354,2548.6666666666665,42,42,99989.82119092984,0.49046701569620355,0.7253033013194091,8.96303875315577,725.303301319409,1823.3633653472575
2022-11-28,48,3743,3957.6666666666665,49,49,99988.05886214077,0.5071388681024104,0.7499651181839427,10.684033872954243,749.9651181839425,3207.701548482724
2022-12-05,49,5776,6493.666666666667,56,56,99986.2366663574,0.5243637689255812,0.7754461119830659,12.463523761699824,775.4461119830657,5718.220554683601
2022-12-12,50,9962,10146.333333333334,63,63,99984.35261983007,0.5421593773073589,0.8017718654953132,14.303448927152308,801.771865495313,9344.56146783802
2022-12-19,51,14701,12010,70,70,99982.40468159807,0.5605434708001056,0.8289689450910269,16.205805986064316,828.9689450910267,11181.031054908974
2022-12-26,52,11367,10699.333333333334,77,77,99980.39073653561,0.5795346501411069,0.8570645156049492,18.172664298663467,857.0645156049491,9842.268817728385
2023-01-02,1,6030,6668,84,84,99978.30860506088,0.5991516322847978,0.8860868436667347,20.206156463198894,886.0868436667346,5781.913156333266
2023-01-09,2,2607,3258,91,91,99976.15604335423,0.6194140960477945,0.9160644347903986,22.308478114957236,916.0644347903983,2341.935565209602
2023-01-16,3,1137,1563.3333333333333,98,98,99973.93073977639,0.640341446548383,0.9470273224698432,24.481891454612004,947.02732246984306,616.3060108634902
2023-01-23,4,946,986,105,105,99971.63031045572,0.6619548946386461,0.9790050601480423,26.728729589518206,979.0050601480422,6.994939851957838
2023-01-30,5,875,859,112,112,99969.25229859169,0.6842742292792685,1.012029941544616,29.051397237519275,1012.0299415446157,-153.02994154461567
2023-02-06,6,756,795.6666666666666,119,119,99966.79417104686,0.7073228489643141,1.0461320198390498,31.45237408436978,1046.1320198390495,-250.46535317238283
2023-02-13,7,756,1095,126,126,99964.25331983264,0.7311204817531104,1.0813463357468978,33.93421334989435,1081.3463357468975,13.653664253102534
2023-02-20,8,1773,1035.6666666666667,133,133,99961.62705590067,0.7556914321866237,1.1177047638315454,36.49954790335668,1117.704763831545,-82.03809716487831
2023-02-27,9,578,1010.3333333333334,140,140,99958.91260967714,0.7810582007204427,1.1552423584548566,39.15108976372782,1155.2423584548562,-144.90902512152286
2023-03-06,10,680,665,147,147,99956.1071355384,0.8072446223313096,1.1939941235923093,41.891625715705054,1193.994123592309,-528.994123592309
2023-03-13,11,737,651.6666666666666,154,154,99953.20769673785,0.8342751335061712,1.2339959770138114,44.72403215166697,1233.9959770138112,-582.3293103471445
2023-03-20,12,538,553.3333333333334,161,161,99950.21126892776,0.8621744013703778,1.275285032993936,47.651271637921525,1275.2850329939358,-721.9516996606025
2023-03-27,13,385,409.3333333333333,168,168,99947.11474119774,0.8909677824483478,1.3178990976632987,50.67639192219568,1317.8990976632983,-908.5657643299651
2023-04-03,14,305,309.6666666666667,175,175,99943.91491328082,0.9206813229753328,1.3618766854049935,53.80252871084455,1361.8766854049932,-1052.2100187383264
2023-04-10,15,239,242.66666666666663,182,182,99940.6084923741,0.9513415820143345,1.4072572155665002,57.032908828363986,1407.2572155664998,-1164.5905488998333
2023-04-17,16,184,202.66666666666663,189,189,99937.19209078862,0.9829756438411605,1.4540810033504141,60.37085256424981,1454.0810033504138,-1251.414336683747
2023-04-24,17,185,171.33333333333334,196,196,99933.66222417809,1.0156111732170257,1.5023891952647355,63.81977545348903,1502.3891952647352,-1331.055861931402
2023-05-01,18,145,145.66666666666666,203,203,99930.01530982772,1.049276404289015,1.5522237665109442,67.38319000152306,1552.2237665109437,-1406.557099844277
2023-05-08,19,107,109.33333333333331,210,210,99926.24766478802,1.084000117020095,1.6036275299008678,71.06470756510525,1603.6275299008673,-1494.294196567534
